title,company,location,salary_min,salary_max,description
Data Analyst Trainee,ITOL Recruit,UK,30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Data Analyst,MCS Group,"Belfast, Northern Ireland",45000.0,45000.0,"Data Analyst Belfast - Hybrid (3 Days Office / 2 Days Home) Competitive Salary  Bonus  Excellent Benefits The Opportunity MCS Group are delighted to be partnering with a leading organisation operating within Northern Ireland's energy sector as they seek to appoint a Data Analyst to join their team. This is an exciting opportunity to join an organisation at the heart of Northern Ireland's energy transition. Significant investment is taking place across the organisation, creating a range of innov…"
Data Analyst,Pertemps Leicester,"Leicester, Leicestershire",65000.0,104000.0,"Data Analyst Leicester (Hybrid working available) 3 Month Contract Full Time Hours, Monday to Friday Up to £400 per day We’re recruiting for an experienced Data Analyst to join a fast-paced Leicester based company on a 3-month contract. This Data Analyst role is ideal for someone who enjoys working with high-volume data, identifying trends, and turning insight into meaningful operational improvements.This Data Analyst position will focus on real-time monitoring, forecasting and analysing custom…"
Data Analyst,Robert Half,"Gloucestershire, South West England",42022.07,42022.07,"Contract Data Analyst Role: Data Analyst Rate: Competitive Location: Gloucestershire Contract Length: Initially 3 months Working Pattern: Full-time, 5 days per week (Hybrid - 1-2 days per week on-site) My client is seeking an experienced Data Analyst to join their team on an initial three-month contract. This role will support the day-to-day running of the data function, delivering management reporting, business analysis and data-driven insights across the organisation. The successful candidate…"
Data Analyst,Robert Half,"Shrewsbury, Shropshire",30000.0,40000.0,"Robert Half is excited to be exclusively partnering with a well-established organisation in Shrewsbury to recruit for a newly created Data and AI Analyst role. This permanent position offers a salary of up to £40,000 and hybrid working , with 2-3 days per week in the Tetbury office. This is a key role supporting the business during a pivotal stage of its digital modernisation journey . You will be responsible for enabling commercial and operational decision-making through insightful data analys…"
Data Analyst,Morgan McKinley,"Manchester, Greater Manchester",140400.0,140400.0,"Data Analyst Location: Manchester (Hybrid: 1 day per week onsite, typically Wednesdays) Duration: August 2026 - April 2027 (Maternity Cover) Rate: £540/day / £72/hour (Inside IR35 / Paid via an Umbrella Company) About the Business We are a global leader in the travel technology sector, dedicated to making it easier for millions of customers to experience the world. This role sits within our Trips & Ground Transportation Business Unit, a high-velocity, tech-first division focused on creating a s…"
Data Analyst,Robert Half,"Leeds, West Yorkshire",35000.0,45000.0,"Robert Half has partnered exclusively with a growing professional services organisation seeking a talented Data Analyst to join their expanding data and technology team. This is an excellent opportunity for an analytical professional with experience in Power BI, SQL, and data modelling to play a key role in driving business intelligence and data-driven decision-making. Please note this role is 5 days a week onsite in Leeds city centre during probation. After probation you have the option to wor…"
Data Analyst,Barchester Healthcare,UK,34000.0,34000.0,"Learning & Development Data Analyst At Barchester Healthcare, we are committed to developing our people and creating a culture of continuous learning across our organisation. We are looking for a Learning & Development Data Analyst to join our L&D team and play a key role in ensuring the accuracy, integrity, and effectiveness of our learning data and reporting. This is an exciting opportunity for someone with strong analytical skills and a passion for data to help shape reporting processes, ide…"
Data Analyst,CODEVERSE LIMITED,"London, UK",35000.0,35000.0,"We are currently recruiting for a Junior Data Engineer / Data Analyst (Hybrid Role) Location: Hybrid – On-site London 2 days per week Role Overview We are looking for a Junior Data Engineer / Data Analyst to join our team. Our streams pair a Data Analyst with a Data Engineer, and because these roles overlap, the ideal candidate possesses a hybrid profile of both skill sets (with a preference toward data engineering). Core Responsibilities Focus on core data tasks, specifically data mapping and …"
Data Analyst,Elevation Recruitment Group,"Leeds, West Yorkshire",45000.0,54000.0,"Data Analyst Location: West Yorkshire / Leeds (Hybrid Working) Salary: £45,000 - £54,000  Bonus  Excellent Benefits Are you a Data Analyst who enjoys turning complex data into meaningful business insight? We're supporting a major Yorkshire-based organisation as they continue to invest in their data and reporting capabilities. As part of an ongoing transformation programme, they're looking to appoint a Data Analyst to help drive smarter decision-making through improved analytics, reporting and v…"
