title,company,location,salary_min,salary_max,description
Data Analyst Trainee,ITOL Recruit,UK,30000.0,50000.0,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…"
Trainee Data Analyst,Newto Training,UK,25000.0,78000.0,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…"
Data Analyst,MCS Group,"Belfast, Northern Ireland",45000.0,45000.0,"Data Analyst Belfast - Hybrid (3 Days Office / 2 Days Home) Competitive Salary  Bonus  Excellent Benefits The Opportunity MCS Group are delighted to be partnering with a leading organisation operating within Northern Ireland's energy sector as they seek to appoint a Data Analyst to join their team. This is an exciting opportunity to join an organisation at the heart of Northern Ireland's energy transition. Significant investment is taking place across the organisation, creating a range of innov…"
Data Analyst,MCS Group,"Belfast, Northern Ireland",45000.0,45000.0,"Data Analyst Belfast - Hybrid (3 Days Office / 2 Days Home) Competitive Salary  Bonus  Excellent Benefits The Opportunity MCS Group are delighted to be partnering with a leading organisation operating within Northern Ireland's energy sector as they seek to appoint a Data Analyst to join their team. This is an exciting opportunity to join an organisation at the heart of Northern Ireland's energy transition. Significant investment is taking place across the organisation, creating a range of innov…"
Data Analyst,Ocho,"Belfast, Northern Ireland",40000.0,40000.0,"Data Analyst Data Analyst role within a well-established UK food and drink co-operative Focus on analytics, automation, dashboards and data quality Belfast based, full-time permanent Salary £30,000 to £40,000 About the Company Our client is a well-established, fast-moving consumer goods business with operations throughout the UK and Ireland, supplying products across both markets and exporting to over 45 countries worldwide. With a large and diverse workforce spanning multiple disciplines, this…"
Data Analyst,Robert Half,"Gloucestershire, South West England",42022.07,42022.07,"Contract Data Analyst Role: Data Analyst Rate: Competitive Location: Gloucestershire Contract Length: Initially 3 months Working Pattern: Full-time, 5 days per week (Hybrid - 1-2 days per week on-site) My client is seeking an experienced Data Analyst to join their team on an initial three-month contract. This role will support the day-to-day running of the data function, delivering management reporting, business analysis and data-driven insights across the organisation. The successful candidate…"
Data Analyst,Morgan McKinley,"Manchester, Greater Manchester",140400.0,140400.0,"Data Analyst Location: Manchester (Hybrid: 1 day per week onsite, typically Wednesdays) Duration: August 2026 - April 2027 (Maternity Cover) Rate: £540/day / £72/hour (Inside IR35 / Paid via an Umbrella Company) About the Business We are a global leader in the travel technology sector, dedicated to making it easier for millions of customers to experience the world. This role sits within our Trips & Ground Transportation Business Unit, a high-velocity, tech-first division focused on creating a s…"
Data Analyst,Hays Specialist Recruitment Limited,"Bedfordshire, Eastern England",40000.0,50000.0,"Your new companyYou will be joining a well-established and growing organisation that places technology and data at the centre of its operational strategy. The business has a strong reputation for innovation and continuous improvement, offering a collaborative environment where systems and process optimisation are actively encouraged.Your new roleWe are currently recruiting for a Data Analyst to support the IT Manager and wider business prepare for a large data migration project and to support t…"
Data Analyst,Pontoon,"Manchester, Greater Manchester",117000.0,130000.0,"Pontoon is an employment consultancy. We put expertise, energy, and enthusiasm into improving everyone's chance of being part of the workplace. We respect and appreciate people of all ethnicities, generations, religious beliefs, sexual orientations, gender identities, and more. We do this by showcasing their talents, skills, and unique experience in an inclusive environment that helps them thrive. Job Title: Data Analyst Location: Manchester - Hybrid ( 4 days in office is essential) Contract: 1…"
Data Analyst,Robert Half,"Shrewsbury, Shropshire",30000.0,40000.0,"Robert Half is excited to be exclusively partnering with a well-established organisation in Shrewsbury to recruit for a newly created Data and AI Analyst role. This permanent position offers a salary of up to £40,000 and hybrid working , with 2-3 days per week in the Tetbury office. This is a key role supporting the business during a pivotal stage of its digital modernisation journey . You will be responsible for enabling commercial and operational decision-making through insightful data analys…"
Data Analyst,Nigel Wright Group,"Newcastle Upon Tyne, Tyne & Wear",35000.0,45000.0,"The Company Nigel Wright are delighted to be working with a growing professional services organisation in their search for a Data Analyst The Role You will be responsible for collecting, processing and analysing data to provide actionable insights that support decision making across the business. Key responsibilities include: Create and maintain interactive dashboards and visual reports using Power BI Collaborate with stakeholders to understand their data needs Retrieve and analyse data from SQ…"
Data Analyst,Akkodis,"Manchester, Greater Manchester",35000.0,45000.0,"Data Analyst Manchester - 3 x a week in the office Salary: £45,000 We're partnering with a leading organisation in Manchester to recruit a Data Analyst. This is a fantastic opportunity to join a business committed to leveraging data for smarter decision-making and improved operational performance. About the Role As a Data Analyst, you'll play a key role in overseeing and improving data processes across the business. You'll work closely with stakeholders to understand data requirements and ensur…"
Data Analyst,Harnham - Data & Analytics Recruitment,"Watford, Hertfordshire",60000.0,65000.0,"SENIOR BI ANALYST UP TO £65,000 WATFORD OVERVIEW We are working exclusively with a major global off-price retailer that is building a dedicated analytics capability within its finance function. This is a great opportunity for a Data Analyst with strong Power BI experience to join a new team and play a key role in improving reporting, insight, and data-led decision-making across the commercial side of the business. THE COMPANY The business is a large, international retail organisation with thous…"
Data Analyst,Robert Half,"Leeds, West Yorkshire",35000.0,45000.0,"Robert Half has partnered exclusively with a growing professional services organisation seeking a talented Data Analyst to join their expanding data and technology team. This is an excellent opportunity for an analytical professional with experience in Power BI, SQL, and data modelling to play a key role in driving business intelligence and data-driven decision-making. Please note this role is 5 days a week onsite in Leeds city centre during probation. After probation you have the option to wor…"
